BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI_min
38,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Girdling,Girdling,Subtropical,Forest,Managed,Evergreen,21.7,1295,476,Rh,-2.025274407
39,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Girdling,Girdling,Subtropical,Forest,Managed,Evergreen,21.7,1295,432,Rh,-2.025274407
40,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,Plantation,Robinia pseudoacacia plantation,Temperate,Forest,Managed,Deciduous,10.6,498,844,Rh,-2.193073463
41,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,None,None,Temperate,Forest,Natural,Deciduous,10.6,498,1234,Rh,-2.193073463
42,National Field Research Station of Agro-Ecosystem,2010,1,47.43,128.63,240,None,None,Temperate,Grassland,Natural,Deciduous,1.5,550,178.3,Rh,-1.90676486
43,National Field Research Station of Agro-Ecosystem,2010,1,47.43,128.63,240,Fertilized,,Temperate,Grassland,Managed,Deciduous,1.5,550,107.4,Rh,-1.90676486
44,National Field Research Station of Agro-Ecosystem,2010,1,47.43,128.63,240,Rotation,rotation,Temperate,Cropland,Managed,Deciduous,1.5,550,167,Rh,-1.90676486
45,National Field Research Station of Agro-Ecosystem,2010,1,47.43,128.63,240,Rotation,rotation,Temperate,Cropland,Managed,Deciduous,1.5,550,228.6,Rh,-1.90676486
46,National Field Research Station of Agro-Ecosystem,2010,1,47.43,128.63,240,Rotation,rotation,Temperate,Cropland,Managed,Deciduous,1.5,550,129.3,Rh,-1.90676486
47,Semi-Arid Climate and Environment Observatory,2008,1,35.95,104.15,1966,None,None,Temperate,Grassland,Natural,Deciduous,6.7,382,165.9,Rh,-1.725426874
48,Semi-Arid Climate and Environment Observatory,2008,1,35.95,104.15,1966,Rotation,rotation,Temperate,Grassland,Managed,Deciduous,6.7,382,116.1,Rh,-1.725426874
49,Ailaoshan Station for Subtropical Forest Ecosystem Studies,2011,2,24.53,101.02,2480,None,None,Subtropical,Forest,Natural,,11.3,1778,1134,Rh,-1.747699806
50,,2010,1,29.5,103.6,,Plantation,,Temperate,Forest,Managed,Evergreen,15,1489.8,87,Rh,-2.196029425
51,Changwu Station,2008,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,293,Rh,-2.005802254
52,Changwu Station,2009,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,298,Rh,-1.37728195
53,Changwu Station,2010,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,238,Rh,-2.038397947
54,Changwu Station,2011,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,234,Rh,-1.877471354
55,Changwu Station,2012,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,226,Rh,-1.117123426
56,Changwu Station,2013,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,240,Rh,-2.326266644
57,Mt. Ailao Nature Reserve,2011,1.25,24.53,101.02,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,1048,Rh,-1.747699806
58,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,408,Rh,-2.183345246
59,Saihanba Forestry Center,2008,2,42.5,117.35,1400,None,None,Temperate,Grassland,Natural,Deciduous,-1.4,450.1,429,Rh,-1.53711282
60,Saihanba Forestry Center,2008,2,42.5,117.35,1400,None,None,Temperate,Shrubland,Natural,Deciduous,-1.4,450.1,366.8,Rh,-1.53711282
61,Saihanba Forestry Center,2008,2,42.5,117.35,1400,Plantation,Pinus sylvestris plantation,Temperate,Forest,Managed,Evergreen,-1.4,450.1,380,Rh,-1.53711282
62,Saihanba Forestry Center,2008,2,42.5,117.35,1400,Plantation,Larix principis plantation,Temperate,Forest,Managed,Deciduous,-1.4,450.1,390.2,Rh,-1.53711282
63,Saihanba Forestry Center,2008,2,42.5,117.35,1400,None,None,Temperate,Forest,Natural,Deciduous,-1.4,450.1,450.5,Rh,-1.53711282
64,Dinghushan Biosphere Reserve-BF,2011,2,23.17,112.525,,None,None,Subtropical,Forest,Natural,Evergreen,22.3,1678,590,Rh,-1.970606883
65,Dinghushan Biosphere Reserve-CF,2011,2,23.17,112.525,,None,None,Subtropical,Forest,Natural,Evergreen,22.3,1678,570,Rh,-1.970606883
66,Heshan National Field Research Station of Forest Ecosystems-CP,2011,2,22.68,112.9,,Plantation,P. massoniana and Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,21.7,1700,430,Rh,-1.97538702
