BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI_min
445,Dinghushan-PF,2001,1,23.17,112.54,,None,None,Tropical,Forest,Natural,Evergreen,21,1927,1040,Rs,-0.752759187
446,Dinghushan Biosphere Reserve-rehab,2005,1,23.17,112.17,200,None,None,Tropical,Forest,Natural,Evergreen,21.4,1927,780,Rs,-1.551684414
447,Dinghushan Biosphere Reserve-rehab,2005,1,23.17,112.17,200,None,None,Tropical,Forest,Natural,Evergreen,21.4,1927,622,Rs,-1.551684414
448,Dinghushan Biosphere Reserve-rehab,2005,1,23.17,112.17,200,None,None,Tropical,Forest,Natural,Evergreen,21.4,1927,701,Rs,-1.551684414
449,Dinghushan Biosphere Reserve-disturb,2005,1,23.17,112.17,125,None,None,Tropical,Forest,Natural,Evergreen,21.4,1927,578,Rs,-1.551684414
450,Dinghushan Biosphere Reserve-disturb,2005,1,23.17,112.17,125,None,None,Tropical,Forest,Natural,Evergreen,21.4,1927,552,Rs,-1.551684414
451,Dinghushan Biosphere Reserve-disturb,2005,1,23.17,112.17,125,None,None,Tropical,Forest,Natural,Evergreen,21.4,1927,534,Rs,-1.551684414
452,Inner Mongolian Grassland Ecosystem Research Station,1998,1.5,43.55,116.68,1265,None,None,Temperate,Grassland,Natural,Deciduous,0.3,350,347,Rs,-1.294697541
453,Yingtan Ecological Experimental Station,1999,1,28.26,116.93,,Rotation,,Subtropical,Cropland,Managed,Deciduous,17.6,1795,450,Rs,-2.281969769
454,Haibei Research Station,1998,1,37.53,101.25,3240,Grazing,2.55 sheep/ha,Temperate,Grassland,Managed,Deciduous,-1.7,560,555,Rs,-2.782881231
455,Haibei Research Station,1998,1,37.53,101.25,3240,Grazing,5.35 sheep/ha,Temperate,Grassland,Managed,Deciduous,-1.7,560,418,Rs,-2.782881231
456,Ecological Station of Red Soil (Yingtan),1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,581,Rs,-2.281969769
457,Ecological Station of Red Soil (Yingtan),1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,385,Rs,-2.281969769
458,Ecological Station of Red Soil (Yingtan),1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,775,Rs,-2.281969769
459,Yanting Agro-ecological Station of Purple Soil,2005,2,31.27,105.47,500,Plantation,,Subtropical,Forest,Managed,Deciduous,17.3,826,602,Rs,-1.557646818
460,Yanting Agro-ecological Station of Purple Soil,2005,2,31.27,105.47,500,Fertilized,,Subtropical,Grassland,Managed,Deciduous,17.3,826,480,Rs,-1.557646818
461,Yanting Agro-ecological Station of Purple Soil,2005,2,31.27,105.47,500,Rotation,,Subtropical,Cropland,Managed,Deciduous,17.3,826,452,Rs,-1.557646818
462,Haibei Station,2005,1,37.5,101.33,3300,None,None,Boreal,Grassland,Natural,Deciduous,-1.7,580,191,Rs,-1.474942799
463,Dinghushan Biosphere Reserve,2005,1,23.17,112.17,275,None,None,Tropical,Forest,Natural,Evergreen,21,1927,604,Rs,-1.551684414
464,Dinghushan Biosphere Reserve,2005,1,23.17,112.17,275,None,None,Tropical,Forest,Natural,Evergreen,21,1927,631,Rs,-1.551684414
465,Dinghushan Biosphere Reserve,2005,1,23.17,112.17,275,None,None,Tropical,Forest,Natural,Evergreen,21,1927,552,Rs,-1.551684414
466,Dinghushan Biosphere Reserve,2005,1,23.17,112.17,275,None,None,Tropical,Forest,Natural,Evergreen,21,1927,508,Rs,-1.551684414
467,Qianyanzhou Ecological Station,2004,1,26.73,115.07,,Plantation,,Subtropical,Forest,Managed,Evergreen,17.9,1489,537,Rs,-1.953949411
468,Qianyanzhou Ecological Station,2005,1,26.73,115.07,,Plantation,,Subtropical,Forest,Managed,Evergreen,17.9,1489,632,Rs,-1.835450732
469,Heshan Interdisciplinary Research Station,2001,1,22.68,112.9,90,Fertilized,,Subtropical,Forest,Managed,,21.7,1900,2240,Rs,-1.153797895
470,Heshengqiao Experimental Station,2005,2.8,30,114,120,Fertilized,,Subtropical,Cropland,Managed,Deciduous,16.8,1577,246,Rs,-1.330676466
471,Heshengqiao Experimental Station,2005,2.8,30,114,120,Fertilized,,Subtropical,Forest,Managed,Deciduous,16.8,1577,198,Rs,-1.330676466
472,Heshengqiao Experimental Station,2005,2.8,30,114,120,Fertilized,270/59/187 N/P/K kg/ha,Subtropical,Cropland,Managed,Deciduous,16.8,1577,151,Rs,-1.330676466
473,Heshengqiao Experimental Station,2005,2.8,30,114,120,None,None,Subtropical,Forest,Natural,Evergreen,16.8,1577,145,Rs,-1.330676466
474,Xinkou Experimental Forestry Centre-Xiaohu,2001,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,1423,Rs,-1.285721454
475,Xinkou Experimental Forestry Centre-Xiaohu,2001,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,981,Rs,-1.285721454
476,Xinkou Experimental Forestry Centre-Xiaohu,2001,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,476,Rs,-1.285721454
477,Xinkou Experimental Forestry Centre-Xiaohu,2002,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,1502,Rs,-1.212428495
478,Xinkou Experimental Forestry Centre-Xiaohu,2002,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,1045,Rs,-1.212428495
479,Xinkou Experimental Forestry Centre-Xiaohu,2002,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,509,Rs,-1.212428495
480,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,1246,Rs,-2.320547065
481,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,843,Rs,-2.320547065
482,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,399,Rs,-2.320547065
483,Xishuangbanna Station for Tropical Rain Forest Ecosystem Studies,2003,1,21.93,101.27,,None,None,Tropical,Forest,Natural,Evergreen,21.4,1557,1274,Rs,-2.066229255
484,Changbai Mountains Forest Ecosystem Open Research Station,2002,1,42.4,128.47,,None,None,Temperate,Forest,Natural,Mixed,2.5,705,503,Rs,-2.274972764
485,Dinghushan Mountain National Reserve,2003,2,23.17,112.53,,None,None,Subtropical,Forest,Natural,Evergreen,20.8,1956,590,Rs,-2.159971929
486,Dinghushan Mountain National Reserve,2003,2,23.17,112.53,,None,None,Subtropical,Forest,Natural,Evergreen,20.8,1956,933,Rs,-2.159971929
487,Dinghushan Mountain National Reserve,2003,2,23.17,112.53,,None,None,Subtropical,Forest,Natural,Evergreen,20.8,1956,1075,Rs,-2.159971929
488,Ecological Station of Red Soil,1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,679,Rs,-2.281969769
489,Xilin Gol Nature Reserve,2001,1,43.54,116.55,1130,None,None,Temperate,Grassland,Natural,Deciduous,-0.5,400,152,Rs,-1.6797266
490,Xilin Gol Nature Reserve,2002,1,43.54,116.55,1130,None,None,Temperate,Grassland,Natural,Deciduous,-0.5,400,119,Rs,-2.27629742
491,Lhasa Plateau Ecosystems Research Station,2000,1,29.78,91.34,3688,Fertilized,,Temperate,Cropland,Managed,Deciduous,7.5,425,647,Rs,-1.045121332
492,Lhasa Plateau Ecosystems Research Station,2001,1,29.78,91.34,3688,Fertilized,,Temperate,Cropland,Managed,Deciduous,7.5,425,557,Rs,-1.896510786
493,Dinghushan Biosphere Reserve,2003,1,23.18,112.54,250,None,None,Subtropical,Forest,Natural,Evergreen,20.9,1956,578,Rs,-2.165579527
494,Dinghushan Biosphere Reserve,2003,1,23.18,112.54,260,None,None,Subtropical,Forest,Natural,Evergreen,20.9,1956,1001,Rs,-2.165579527
495,Dinghushan Biosphere Reserve,2003,1,23.18,112.54,260,None,None,Subtropical,Forest,Natural,Evergreen,20.9,1956,1586,Rs,-2.165579527
496,Dagou,2004,1,31.7,103.87,1987,Plantation,Pinus tabulaeformi plantation,Temperate,Forest,Managed,Evergreen,8.9,900,435,Rs,-0.961087299
497,Dagou,2004,1,31.7,103.87,1987,None,None,Temperate,Forest,Natural,Deciduous,8.9,900,458,Rs,-0.961087299
498,Yanting Agro-ecological Station of Purple Soil,2005,1,31.27,105.47,500,Plantation,,Subtropical,Forest,Managed,Evergreen,17.3,826,627,Rs,-1.557646818
499,Dinghushan Nature Reserve,2003,2,23.17,112.53,550,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,600,Rs,-2.159971929
500,Dinghushan Nature Reserve,2003,2,23.17,112.53,550,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,913,Rs,-2.159971929
501,Dinghushan Nature Reserve,2003,2,23.17,112.53,550,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,1077,Rs,-2.159971929
502,,2002,1,43.55,116.78,1225,None,None,Temperate,Grassland,Natural,Deciduous,0.3,400,409,Rs,-2.271092713
503,,2002,1,44.09,115.91,923,None,None,Temperate,Grassland,Natural,Deciduous,1.5,250,111,Rs,-2.3248835
504,,2003,1,43.55,116.78,1225,None,None,Temperate,Grassland,Natural,Deciduous,0.3,400,360,Rs,-1.276951836
505,,2003,1,44.09,115.91,923,None,None,Temperate,Grassland,Natural,Deciduous,1.5,250,126,Rs,-0.851926463
506,,2004,1,43.55,116.78,1225,None,None,Temperate,Grassland,Natural,Deciduous,0.3,400,356,Rs,-1.789696119
507,,2004,1,44.09,115.91,923,None,None,Temperate,Grassland,Natural,Deciduous,1.5,250,149,Rs,-1.89515708
508,,1998,1,43.55,116.68,,None,None,Temperate,Grassland,Natural,Deciduous,0.6,347,387,Rs,-1.294697541
509,,1999,1,43.55,116.68,,None,None,Temperate,Grassland,Natural,Deciduous,0.6,347,300,Rs,-1.966719361
510,Xishuangbanna,2003,1,21.95,101.2,,None,None,Tropical,Forest,Natural,Evergreen,21.5,1557,720,Rs,-2.06867837
511,Xishuangbanna,2003,1,21.93,101.25,,Litter manipulation,Litter removal,Tropical,Forest,Managed,Evergreen,21.5,1557,764,Rs,-2.064978685
512,Maoershan Forest Research Station,2004,1.3,45.38,127.53,,Fertilized,10 gN/m2,Temperate,Forest,Managed,Deciduous,2.8,723,1173,Rs,-1.917454814
513,Maoershan Forest Research Station,2004,1.3,45.38,127.53,,Fertilized,10 gN/m2,Temperate,Forest,Managed,Deciduous,2.8,723,908,Rs,-1.917454814
514,Maoershan Forest Research Station,2004,1.3,45.38,127.53,,Fertilized,10 gN/m2,Temperate,Forest,Managed,Deciduous,2.8,723,946,Rs,-1.917454814
515,Maoershan Forest Research Station,2004,1.3,45.38,127.53,,Fertilized,10 gN/m2,Temperate,Forest,Managed,Deciduous,2.8,723,681,Rs,-1.917454814
516,,2004,1.5,30.03,114.37,,Rotation,,Temperate,Cropland,Managed,Deciduous,16.8,577,308,Rs,-1.764186436
517,,2004,1.5,30.03,114.37,,None,None,Temperate,Forest,Natural,Deciduous,16.8,577,172,Rs,-1.764186436
518,,2004,1.5,30.03,114.37,,None,None,Temperate,Forest,Natural,Deciduous,16.8,577,145,Rs,-1.764186436
519,,2004,1.5,30.03,114.37,,Plantation,,Temperate,Forest,Managed,Deciduous,16.8,577,226,Rs,-1.764186436
520,Taoyuan Station of Agricultural Ecosystem Research,2003,1,28.92,111.45,,Rotation,,Subtropical,Cropland,Managed,Deciduous,16.5,1448,425,Rs,-1.321178917
521,Taoyuan Station of Agricultural Ecosystem Research,2004,1,28.92,111.45,,Rotation,,Subtropical,Cropland,Managed,Deciduous,16.5,1448,616,Rs,-1.432066727
522,Taoyuan Station of Agricultural Ecosystem Research,2005,1,28.92,111.45,,Rotation,,Subtropical,Cropland,Managed,Deciduous,16.5,1448,622,Rs,-1.762196256
523,Liupan Mountain,2001,1,35.5,106.33,1950,Plantation,,Temperate,Forest,Managed,,5.8,538,396,Rs,-2.059260318
524,Liupan Mountain,2001,1,35.5,106.33,1950,None,None,Temperate,Forest,Natural,Deciduous,5.8,538,406,Rs,-2.059260318
525,Liupan Mountain,2001,1,35.5,106.33,1950,None,None,Temperate,Forest,Natural,Deciduous,5.8,538,451,Rs,-2.059260318
526,Liupan Mountain,2001,1,35.5,106.33,1950,Rotation,,Temperate,Cropland,Managed,Deciduous,5.8,538,191,Rs,-2.059260318
528,Liupan Mountain,2001,1,35.5,106.33,1950,Plantation,,Temperate,Forest,Managed,Deciduous,5.8,538,431,Rs,-2.059260318
529,Liupan Mountain,2001,1,35.5,106.33,1950,Plantation,,Temperate,Forest,Managed,Deciduous,5.8,538,411,Rs,-2.059260318
530,Liupan Mountain,2001,1,35.5,106.33,1950,Plantation,,Temperate,Forest,Managed,Deciduous,5.8,538,555,Rs,-2.059260318
531,Sangong-FS,2005,1,44,88,,Plantation,,Temperate,Forest,Managed,Deciduous,6.9,220,334,Rs,-1.30417046
532,Sangong-ND,2005,1,44,88,,None,None,Temperate,Desert,Natural,Deciduous,6.9,220,191,Rs,-1.30417046
533,Yao Jingzi Grassland Nature Reserve,2002,1,44.75,123.75,160,None,None,Temperate,Grassland,Natural,Deciduous,4.9,470,361,Rs,-2.329523087
534,Yao Jingzi Grassland Nature Reserve,2002,1,44.75,123.75,160,None,None,Temperate,Grassland,Natural,Deciduous,4.9,470,240,Rs,-2.329523087
535,Dinghushan-MPF,2003,1,23.15,112.54,250,None,None,Subtropical,Forest,Natural,Evergreen,20.9,1956,592,Rs,-2.155355369
536,Dinghushan-MF,2003,1,23.15,112.54,260,None,None,Subtropical,Forest,Natural,Evergreen,20.9,1956,1024,Rs,-2.155355369
537,Dinghushan-MEBF,2003,1,23.15,112.54,260,None,None,Subtropical,Forest,Natural,Evergreen,20.9,1956,1163,Rs,-2.155355369
538,Qianyanzhou Ecological Station,2004,1,26.74203,115.05783,92,Plantation,,Subtropical,Forest,Managed,Evergreen,17.9,1485,605,Rs,-1.954390013
539,Qianyanzhou Ecological Station,2005,1,26.74203,115.05783,92,Plantation,,Subtropical,Forest,Managed,Evergreen,17.9,1485,717,Rs,-1.844356077
540,Qianyanzhou Ecological Station,2006,1,26.74203,115.05783,92,Plantation,,Subtropical,Forest,Managed,Evergreen,17.9,1485,684,Rs,-0.906144221
541,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,992,Rs,-0.966638566
542,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,512,Rs,-0.966638566
543,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,464,Rs,-0.966638566
544,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,817,Rs,-0.966638566
545,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,781,Rs,-0.966638566
546,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,464,Rs,-0.966638566
547,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,440,Rs,-0.966638566
548,Ailao Mountains Nature Preserve,2004,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,893,Rs,-0.966638566
549,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,714,Rs,-1.839090684
550,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,425,Rs,-1.839090684
551,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,407,Rs,-1.839090684
552,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,600,Rs,-1.839090684
553,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,505,Rs,-1.839090684
554,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,335,Rs,-1.839090684
555,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,324,Rs,-1.839090684
556,Ailao Mountains Nature Preserve,2005,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,474,Rs,-1.839090684
557,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,822,Rs,-1.636754625
558,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,398,Rs,-1.636754625
559,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,450,Rs,-1.636754625
560,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,683,Rs,-1.636754625
561,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,530,Rs,-1.636754625
562,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,334,Rs,-1.636754625
563,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,322,Rs,-1.636754625
564,Ailao Mountains Nature Preserve,2006,1,24.53333333,101.0166667,2476,None,None,Subtropical,Forest,Natural,Evergreen,11.3,1840,535,Rs,-1.636754625
565,Wudaoliang,2000,1,35.21666667,93.08333333,4767,None,None,Boreal,Grassland,Natural,Deciduous,-5.6,300,79.97,Rs,-1.376036393
566,Wudaoliang,2001,1,35.21666667,93.08333333,4767,None,None,Boreal,Grassland,Natural,Deciduous,-5.6,300,79.24,Rs,-2.976151339
567,Dinghushan Biosphere Reserve,2005,1,23.16666667,112.55,,None,None,Tropical,Forest,Natural,Evergreen,21,1927,620,Rs,-1.609026546
568,Xishui Forest Farm,2004,2,38,99,2500,Clearcut,,Boreal,Forest,Managed,Mixed,0.81,435,638,Rs,-1.666873902
569,Xishui Forest Farm,2004,2,38,99,2600,Clearcut,,Boreal,Forest,Managed,Mixed,0.5,435,582,Rs,-1.666873902
570,Xishui Forest Farm,2004,2,38,99,2700,Clearcut,,Boreal,Forest,Managed,Mixed,0.3,435,574,Rs,-1.666873902
571,Xishui Forest Farm,2004,2,38,99,2800,Clearcut,,Boreal,Forest,Managed,Mixed,-0.2,435,539,Rs,-1.666873902
572,Xishui Forest Farm,2004,2,38,99,2900,Clearcut,,Boreal,Forest,Managed,Mixed,-0.4,435,514,Rs,-1.666873902
573,Xishui Forest Farm,2004,2,38,99,3000,Clearcut,,Boreal,Forest,Managed,Mixed,-0.4,435,468,Rs,-1.666873902
574,South China Botanical Garden,2007,1,23.333,113.5,,Fertilized,,Subtropical,Forest,Managed,Evergreen,21.5,1750,941,Rs,-2.121977397
575,South China Botanical Garden,2007,1,23.333,113.5,,Fertilized,100 kgN/ha/yr,Subtropical,Forest,Managed,Evergreen,21.5,1750,963,Rs,-2.121977397
576,South China Botanical Garden,2007,1,23.333,113.5,,CO2 Fertilized,700 ppm,Subtropical,Forest,Managed,Evergreen,21.5,1750,1208,Rs,-2.121977397
577,South China Botanical Garden,2007,1,23.333,113.5,,CO2 Fertilized,"Fertilized, CO2 Fertilized 100 kgN/ha/yr, 700 ppm",Subtropical,Forest,Managed,Evergreen,21.5,1750,1407,Rs,-2.121977397
578,South China Botanical Garden,2008,1,23.333,113.5,,Fertilized,,Subtropical,Forest,Managed,Evergreen,21.5,1750,987,Rs,-1.108896
579,South China Botanical Garden,2008,1,23.333,113.5,,Fertilized,100 kgN/ha/yr,Subtropical,Forest,Managed,Evergreen,21.5,1750,982,Rs,-1.108896
580,South China Botanical Garden,2008,1,23.333,113.5,,CO2 Fertilized,700 ppm,Subtropical,Forest,Managed,Evergreen,21.5,1750,1268,Rs,-1.108896
581,South China Botanical Garden,2008,1,23.333,113.5,,CO2 Fertilized,"Fertilized, CO2 Fertilized 100 kgN/ha/yr, 700 ppm",Subtropical,Forest,Managed,Evergreen,21.5,1750,1495,Rs,-1.108896
582,Daxinganling,2004,3,50.93333333,121.5,810,None,,Boreal,Forest,Natural,Evergreen,-5.4,500,493,Rs,-2.462490846
583,Changbaishan,2004,3,42.4,128.0833333,740,None,,Temperate,Forest,Natural,Deciduous,2.8,750,548,Rs,-2.191115555
584,Dinghushan,2004,3,23.16666667,112.5666667,300,None,700 ppm,Subtropical,Forest,Natural,Evergreen,20.9,1564,965,Rs,-1.815992465
585,Xishuangbanna,2004,3,21.93333333,101.2666667,720,None,,Tropical,Forest,Natural,Evergreen,21.4,1557,942,Rs,-1.565859964
586,Wanmulin Nature Reserve,2005,1,27.03333333,118.1333333,410,None,None,Subtropical,Forest,Natural,Evergreen,18.7,1664,1968,Rs,-1.684320818
587,Wuyi Mountain,2005,1,27.03333333,118.1333333,410,None,None,Subtropical,Forest,Natural,Evergreen,18.7,1664,1192,Rs,-1.684320818
588,Wuyi Mountain,2005,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Forest,Managed,Evergreen,18.7,1664,927,Rs,-1.684320818
589,Wuyi Mountain,2005,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Forest,Managed,Evergreen,18.7,1664,1026,Rs,-1.684320818
590,Wuyi Mountain,2005,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Forest,Managed,Evergreen,18.7,1664,719,Rs,-1.684320818
591,Wuyi Mountain,2005,1,27.03333333,118.1333333,410,Fertilized,"310 N, 115 P, 260 K kg/ha/yr",Subtropical,Cropland,Managed,Deciduous,18.7,1664,802,Rs,-1.684320818
592,Wanmulin Nature Reserve,2006,1,27.03333333,118.1333333,410,None,"105 N, 52 P, 120 K kg/ha/yr",Subtropical,Forest,Natural,Evergreen,18.7,1664,1835,Rs,-1.257898934
593,Wuyi Mountain,2006,1,27.03333333,118.1333333,410,None,,Subtropical,Forest,Natural,Evergreen,18.7,1664,1359,Rs,-1.257898934
594,Wuyi Mountain,2006,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Forest,Managed,Evergreen,18.7,1664,997,Rs,-1.257898934
595,Wuyi Mountain,2006,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Forest,Managed,Evergreen,18.7,1664,996,Rs,-1.257898934
596,Wuyi Mountain,2006,1,27.03333333,118.1333333,410,Fertilized,"310 N, 115 P, 260 K kg/ha/yr",Subtropical,Forest,Managed,Evergreen,18.7,1664,730,Rs,-1.257898934
597,Wuyi Mountain,2006,1,27.03333333,118.1333333,410,Fertilized,"105 N, 52 P, 120 K kg/ha/yr",Subtropical,Cropland,Managed,Deciduous,18.7,1664,969,Rs,-1.257898934
598,Wanmulin Nature Reserve,2007,1,27.03333333,118.1333333,410,None,,Subtropical,Forest,Natural,Evergreen,18.7,1664,1771,Rs,-1.985449379
599,Wuyi Mountain,2007,1,27.03333333,118.1333333,410,None,,Subtropical,Forest,Natural,Evergreen,18.7,1664,1211,Rs,-1.985449379
600,Wuyi Mountain,2007,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Forest,Managed,Evergreen,18.7,1664,954,Rs,-1.985449379
601,Wuyi Mountain,2007,1,27.03333333,118.1333333,410,Fertilized,"310 N, 115 P, 260 K kg/ha/yr",Subtropical,Forest,Managed,Evergreen,18.7,1664,999,Rs,-1.985449379
602,Wuyi Mountain,2007,1,27.03333333,118.1333333,410,Fertilized,"105 N, 52 P, 120 K kg/ha/yr",Subtropical,Forest,Managed,Evergreen,18.7,1664,640,Rs,-1.985449379
603,Wuyi Mountain,2007,1,27.03333333,118.1333333,410,Fertilized,,Subtropical,Cropland,Managed,Deciduous,18.7,1664,1010,Rs,-1.985449379
604,Tianjiling Forestry Park,2006,1,28.10833333,113.025,100,None,None,Subtropical,Forest,Natural,Evergreen,17.2,1456,989,Rs,-1.16925351
605,Tianjiling Forestry Park,2006,1,28.10833333,113.025,100,None,None,Subtropical,Forest,Natural,Evergreen,17.2,1456,529,Rs,-1.16925351
606,Zigui County Experimental Station,2008,1,31,110.5,382.5,Fertilized,732 kgN/ha/yr,Subtropical,Cropland,Managed,Deciduous,18,1164,259,Rs,-1.496402889
607,Zigui County Experimental Station,2008,1,31,110.5,382.5,Fertilized,286 kgN/ha/yr,Subtropical,Cropland,Managed,Deciduous,18,1164,240,Rs,-1.496402889
608,Zigui County Experimental Station,2008,1,31,110.5,382.5,Fertilized,709 kgN/ha/yr,Subtropical,Forest,Managed,Evergreen,18,1164,213,Rs,-1.496402889
609,Zigui County Experimental Station,2008,1,31,110.5,382.5,None,,Subtropical,Forest,Natural,Evergreen,18,1164,185,Rs,-1.496402889
610,Zigui County Experimental Station,2008,1,31,110.5,382.5,Fertilized,557 kgN/ha/yr,Subtropical,Cropland,Managed,Deciduous,18,1164,180,Rs,-1.496402889
611,Zigui County Experimental Station,2008,1,31,110.5,382.5,Fertilized,507 kgN/ha/yr,Subtropical,Cropland,Managed,Deciduous,18,1164,164,Rs,-1.496402889
612,Zigui County Experimental Station,2008,1,31,110.5,382.5,Fertilized,699 kgN/ha/yr,Subtropical,Forest,Managed,Evergreen,18,1164,147,Rs,-1.496402889
613,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,95,Rs,-1.796229094
614,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,79,Rs,-1.796229094
615,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,77,Rs,-1.796229094
616,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,66,Rs,-1.796229094
617,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,57,Rs,-1.796229094
618,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,91,Rs,-1.796229094
619,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,58,Rs,-1.796229094
620,Xilin River Basin,2001,1,44,116,1125,None,None,Boreal,Grassland,Natural,Deciduous,0.6,350,58,Rs,-1.796229094
621,Yizhou State Forestry Centre,2002,1,26.41666667,117.8333333,,Clearcut,"Clearcut, slash burned",Subtropical,Forest,Managed,Evergreen,19.2,1688,510,Rs,-1.250560827
622,Yizhou State Forestry Centre,2002,1,26.41666667,117.8333333,,None,None,Subtropical,Forest,Natural,Evergreen,19.2,1688,1495,Rs,-1.250560827
