BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI,LogRS
126,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Evergreen,9,1000,1907.01,Rh,-2.126151659,3.28035297
127,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Deciduous,9,1000,1361.98,Rh,-2.126151659,3.13417073
130,Yulin,2009,1,38.77,110.37,1224,Weed control,,Temperate,Bare,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
131,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
132,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
133,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
134,Yulin,2009,1,38.77,110.37,1224,Fertilized,None,Temperate,Grassland,Natural,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
135,Yulin,2009,1,38.77,110.37,1219,Fertilized,,Temperate,Grassland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
136,Yulin,2009,1,38.77,110.37,1223,Fertilized,,Temperate,Grassland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
137,Yulin,2009,1,38.77,110.37,1215,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
138,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
139,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Grassland,Natural,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
140,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Grassland,Natural,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
141,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816,2.310374642
142,Tianjiling Changsha,2007,1,28.1,113.02,75,None,None,Subtropical,Forest,Natural,Evergreen,17.2,1422,358,Rh,-2.353648344,2.553883027
162,National Forest Reserve ,2009,1,21.933,101.25,,None,None,Tropical,Forest,Natural,Evergreen,21.5,1557,805,Rh,-2.054972378,2.90579588
173,Shiyan,2011,1,32.63,110.62,234,Fertilized,None,Subtropical,Cropland,Managed,Deciduous,15.3,834,292,Rh,-2.079788773,2.465382851
174,Shiyan,2011,1,32.63,110.62,234,Fertilized,150 kg Urea ha-1,Subtropical,Cropland,Managed,Deciduous,15.3,834,294,Rh,-2.079788773,2.46834733
175,Shiyan,2011,1,32.63,110.62,234,Fertilized,None,Subtropical,Cropland,Managed,Deciduous,15.3,834,272,Rh,-2.079788773,2.434568904
176,Shiyan,2011,1,32.63,110.62,234,Fertilized,150 kg Urea ha-1,Subtropical,Cropland,Managed,Deciduous,15.3,834,247,Rh,-2.079788773,2.392696953
177,Shiyan,2011,1,32.63,110.62,234,Fertilized,150 kg chicken manure ha-1,Subtropical,Cropland,Managed,Deciduous,15.3,834,316,Rh,-2.079788773,2.499687083
178,Shiyan,2011,1,32.63,110.62,234,Fertilized,75 kg Urea and 75 kg chicken manure ha-1,Subtropical,Cropland,Managed,Deciduous,15.3,834,287,Rh,-2.079788773,2.457881897
182,Haibei Grassland Ecological Monitoring Station,2013,1,36.95,100.85,3140,Warmed,Open-top chambers ,Temperate,Grassland,Managed,Deciduous,1.34,408.45,822.15,Rh,-2.511989613,2.914951061
183,Haibei Grassland Ecological Monitoring Station,2013,1,36.95,100.85,3140,Warmed,Open-top chambers ,Temperate,Grassland,Managed,Deciduous,1.34,408.45,724.626,Rh,-2.511989613,2.860113913
192,Yanting Agro-Ecological Station of Purple Soil,2013,1,31.27,105.47,500,Fertilized,NPK,Subtropical,Cropland,Managed,Deciduous,17.3,826,125.715,Rh,-2.318369433,2.0993871
195,Yanting Agro-Ecological Station of Purple Soil,2013,1,31.27,105.47,500,Fertilized,RSDNPK,Subtropical,Cropland,Managed,Deciduous,17.3,826,205.326,Rh,-2.318369433,2.312443947
198,Yanting Agro-Ecological Station of Purple Soil,2013,1,31.27,105.47,500,None,None,Subtropical,Forest,Natural,Evergreen,17.3,826,317.028,Rh,-2.318369433,2.501097621
